,SSOC,job_title,job_description,id,pred1,prob1,pred2,prob2,pred3,pred4,pred5
10,52302,Cashier,"ATTRACTIVE SALARY PACKAGE. NO EXPERIENCE. WELL ESTABLISHED COMPANY. Responsibilities: (a) Cashiering duties and managing of cash register. (b) Help the chef as and when required. Benefits: Meals are provided. How to Apply: By submitting any application or resume to us, you will be deemed to have agreed and consented to us collecting, using, retaining and disclosing your personal information to prospective employer for their consideration. We regret to inform that only shortlisted candidates would be notified. Wish you all the best. Elaine Yu (EA Reg No: R1114284) Active HR Management Pte Ltd (EA Lic No: 13C6639) Join our Telegram channel https://t me/sgactivejobs for more positions openings. If interested can visit our company website: http://www careers-page com/activejobs https://wa me/message/6583666017.NO FEE NO CONTRACT https://t me/sgactivejobs.",10,52302,oba': [1.0,51312, 1.7180682e-19,52202,41101,42245
11,21414,QA and Instrumentation Engineer,"Responsible for ensuring the operation team runs effectively abide the ISO 9001 standard and its documentation. Implement and execute all product inspections based on data sheets that sent to QC department. To report and reject all irregularities or non-conformance prescribed in the specifications and quality standards as specified. Accountable for conducting detailed quality criteria inspection of all new products and make recommendations to the management for incorporating the new product to the existing categories for future developments. Provide technical support to purchasing department in dealing with vendors regarding technical concerns. Provide technical support to the products and services that the company offers in terms of the product scope and functional aspects. Carry out training, commissioning and troubleshooting services to our customer. In charge of repair and service (in-house and on-site) within the capability of the organization and product complexity. Periodically evaluate and review the quality control and assurance standards to ensure utmost appropriateness and compatibility to national/industrial standards. Reporting the department progress based on the Key Performance Indicator. Initiate and conduct ISO audits including regular stock check, Internal Quality Audit, Management Review and External Quality Audit. Responsible for collating and addressing customer feedbacks adhering to company's policy.",11,21414,[0.9959948,21441, 0.0019935686,21473,21415,21511
12,31720,QC Inspector,"Receives materials and reviews supplier documentation and compares to the DBI (Data.Base Information) to determine dimension specifications, measurements and tests required to ensure quality and customer satisfaction. Verifies calibration of inspection tools prior to beginning assignment. Inspects product in accordance to the requirements of the DBI and routinely uses micrometers, calipers, indicators, and measuring devices. Records inspection results and completes reports and related documentation or data entry in an accurate and timely manner. Reports nonconforming product to the appropriate person. Performs SAP transactions after completion of QC operations. Perform UT, MT, PT on material during the Raw, Semi-machined, Final machined. Assists in investigation on CAR's and Field Non-Conformance Reports (FNCR's) Records results in an accurate and timely manner. Assists NRB (Nonconformance Review Board) in resolving problems with non-conformance.",12,31720,oba': [1.0,82139, 2.0562087e-14,21414,13292,31164
13,25121,Software Engineer | Backend Server ,"Design and implement Server-side APIs in an elegant, efficient, secure, highly available, and maintainable way. Work closely with client engineers and game designers to ensure technical compatibility and user satisfaction. Design workflow and components of the technical system based on game design requirements. Monitor timeline for server team in the project to ensure no bottleneck and able to deliver in time. Develop tools and processes for the efficient deployment process. Code review and give feedback and suggestions to improve code base in terms of efficiency and readability.",13,25122,[0.5786204,25121, 0.42134327,25111,25190,25123
14,24212,Business Analyst Client Onboarding,"Work with Client Coverage Stakeholders to elicit, analyse and document business related ICS controls which will be utilised for implementing ICS controls in the remediation of ICS risk. Understand and assess the impact of change on systems, people, policy and data in implementing controls. Work with T&I, HICS, and Process stakeholders as necessary to support the timely delivery of an implementation. Contributes to the development and creation of Operational Workaround, Runbook documents in ensuring Cyber Resiliency across Client Coverage systems. Contributes in the determination of scope and participation of Client Coverage teams towards the yearly CCIB playbook and crises exercises. Supports & Assists in the upkeep & maintenance of system inventory and information records (e g. SBIA refresh exercises, information assets repository) as part of Cyber Hygiene related activities in BAU. Maintain strong stakeholder engagement with HICS teams, T&I, CIO business application teams and wider Client Coverage teams. Escalate appropriately to ensure ICS Product Manager is briefed and necessary decisions are made in a timely manner. Supports the ICS Product Manager to manage actions coming out of ICS Risk, Refinement and sub-refinement forums. Maintains and provides oversight to Cyber Hygiene ICS deliverables on an ongoing basis. Works with wider Client Coverage teams to ensure Cyber Hygiene (BAU) control requirement are implemented in a timely manner to avoid degradation in the current risk status across the Client Coverage ecosystem (systems, processes and data) Assists in the implementation of controls to remediate risk buy down objectives under Client Coverage.",14,24212,oba': [1.0,33221, 4.463077e-22,24211,24213,24232
15,25113,"AWS Solutions Architecture, Leader SAP","Amazon Web Services is looking for an experienced technical leader to lead our Partner Solution Architecture team focused on SAP in the region. As a Senior Manager for SAP, within Amazon Web Services (AWS), you will lead a team delivering on our strategy to build mind share and adoption of Amazon's infrastructure web services across AWS's most strategic business partners and their SAP customers. Your responsibilities will include day-to-day development and management of the Solution Architecture team that supports key customer and partner development activities as well as working with senior stakeholders inside our customers and partners to help make them successful on AWS. We are looking for someone who possesses the deep technical skills in both SAP products and cloud computing as well as customer facing skills that will enable you to represent AWS supporting customers and the SAP community. The successful candidate will have strong business and sales background enabling them to easily interact with enterprise customers and sales/field reps. You should also have a demonstrated ability to think strategically about business, enterprise software products, and new technology platforms and architectures. You should have great communication skills and have demonstrated experience in managing and developing high performing technical teams. Previous experience with AWS is desired but not required. This position is based in Singapore. Basic qualifications 10+ years hands-on, technical experience working with SAP solutions 5+ leading senior technical teams 5+ years in customer-facing positions, preferably in the enterprise space Preferred qualifications Advanced degree in computer science, engineering or mathematics Excellent verbal and written communications skills are a must, as well as the ability to work effectively across internal and external organizations Demonstrated ability to think strategically about business, product, and technical challenges Demonstrated ability to engage and influence C-level executives Proven track record of strong presentation skills and the ability to articulate complex concepts to cross functional audiences. Meets/exceeds Amazon's leadership principles requirements for this role Meets/exceeds Amazon's functional/technical depth and complexity for this role Amazon is committed to a diverse and inclusive workplace. Amazon is an equal opportunity employer, and does not discriminate on the basis of race, national origin, gender, gender identity, sexual orientation, disability, age, or other legally protected status.",15,25113,oba': [1.0,25111, 2.7202662e-09,25190,24213,25121
16,71151,Carpenter,"able to do simple sketch and interpret layout and furniture drawings have good knowledge of common wood materials used in furniture making from the sketch and drawing, able to select the appropriate wood to take dimensions and cut to size on the selected material versatile to operate cuttting machine and other tools used in furniture making and installation experience in doing laminate well assist in carrying and loading materials/tools to do on-site installation as part of team possess driving license.",16,71151,oba': [1.0,71000, 7.5319626e-26,94101,72120,93201
17,25121,Senior/Principal Software Engineer,"Participate in the design, setup, operation and management of all IT equipment & systems related to the National Cybersecurity R&D lab (NCL) Provide 2nd/3rd level technical support to NCL Support Services. Troubleshoot and resolve faults. Develop new technical applications and maintaining existing ones. Ensure proper IT security implementation and protection of services. Participate in the procurement of new IT equipment and software.",17,25121,0.99337244,25113, 0.0046006874,25122,25190,25111
18,21494,M&E Quantity Surveyor,"Prepare plans and documents for quotations to suppliers that will be used as basis for pricing. Obtains, compiles and evaluates quotations from the respective suppliers/vendors according to tender requirements. Prepare bill of quantities which involves quantity take-off, material sourcing, measuring and estimating materials and labour costing. Carry out the detailed breakdown pricing. Understanding of Tenders with respect to scope of work, pricing schedule and non-material requirements. Attend onsite and consultants' meetings and liaise with clients, architects and associate consultants in the administration of projects.",18,21494,oba': [1.0,21651, 4.0665963e-28,41101,21421,43112
19,25121,R0129090 GEM Technology - Java Software Developer (AVP),"Collaborate and communicate openly pairing with colleagues to write software and solve problems. Engage directly with business stakeholders to elicit requirements and ensure that the software delivered is fit for purpose. Technical analysis, solution design, developing, unit testing, code review, architecture and API documentation. Engage with QA to prepare infrastructure for integration and load testing activities. Deployment of the solution for SIT, UAT testing activities and for demonstration session to business stakeholders. Production SL3 support.",19,25121,[0.9081724,25122, 0.079278745,25111,25140,25113
20,14121,"Assistant/ Restaurant Manager (up to $4000, Immediate interview & Result)","Leading the team to provide perfect service experience for every Guest. Manage and provide basic training to permanent/ temporary staffs. Present menu, answer questions and make suggestions regarding food and beverage. Serve the Guest in an accommodating manner. Neatly putting away all utensils, cooking instruments, dishes, and cutting boards in their respective places. Packing take-out orders as needed. Mopping and sweeping the kitchen areas as required.",20,14121,0.99995244,34341, 3.248792e-05,51311,34342,51202
21,25121,"Software Engineer, Search Language Processing - Apple Media Products","Have a major impact on the way people search & discover Apple Media content on Apple devices worldwide. Be part of a team with strong expertise in software engineering, information retrieval, language processing, data mining, machine learning, scalable systems, and parallel processing (Hadoop, Scala, Spark) Be responsible for improving search recall and precision. Use big data technology to evaluate and prioritize content discovery features. Conduct AB Tests to ensure we objectively measure improvements. Ensure successful deployment of features, code, data, and models in production. Work in collaboration with other world-class engineers, researchers, and statisticians to ensure the features and models are functioning at or above expected performance levels. Work on Natural Language Processing (NLP), Tokenization, Stemming, Lemmatization, and Synonym mining Improve Search Recall, Text Indexing and Query Rewrites Design & Implement solutions for automated unit and integration tests that enable continuous integration and delivery.",21,25121,[0.9981694,25122, 0.0017919211,25190,25151,25111
22,35123,IT Support Asst. Engineer,"Provide printer equipment demonstration, installation and technical support to customers and sales team. Provide phone and on-site support, maintenance and servicing, trouble-shoot and repair of printer equipment and its supplied software. Conduct regularly onsite equipment maintenance and servicing for members. Develop training materials and conduct printer and software training to both external and internal customers. Provide printing service support to customers and sales team. Provide administrative support to ensure proper filing of service records.",22,35123, [0.999998,35121, 2.0047646e-06,74222,42245,53120
23,21522,IoT Hardware Engineer,"Designing and developing hardware components including circuit boards, processors, and memory cards. Testing hardware components individually and in tandem with external computer systems. Analyzing systems data in order to make changes to the hardware configuration. Completing functionality and performance tests on the final product. Designing hardware for computer-related products such as routers and smart devices. Creating specifications and documents for components and completed computer systems. Collaborating with software developers to ensure the hardware functions for its intended purpose. Overseeing the manufacturing process of hardware components. Leading and managing a team of engineers.",23,21522,[0.8895296,21521, 0.09855416,25121,25122,21523
24,14201,"Assistant Manager, Logistics & Fulfillment (Online Retail)","Support the iShopChangi (iSC) Operations Manager to manage the day to day in-airport and off-airport ground logistics and fulfillment operations for the online retail business. Manage end-to-end fulfilment workflow process of iSC with merchants: order management and fulfilment operations, risk identification and development of mitigation action plans. Mapping, streamlining and standardising of Operations' SOP. Manage 1st level escalation on operational matters. Project management, lead and assist in the planning and implementation of logistics and fulfillment related projects which may include conducting open tenders and sourcing for logistics services, technology equipment / system implementation, onboarding of new service providers. Draw up the project plans, dependencies, and communicate across the involved parties to align everyone across the scopes and timeline. Assess, segmentise and develop a suitable inventory management and replenishment strategies for iSC retail inventory. Manage and lead CAG cross border expansion initiatives, including identifying logistics service providers, defining iSC system requirements, identifying customs and tax regulations to compile and designing the fulfillment operational process. Manage and maintain contracts. Ensure that the project status, issues or changes made are communicated to internal and external stakeholders and appropriate parties and documented appropriately.",24,13241,[0.5189175,14201, 0.47701362,13242,14202,33461
25,24111,Accountant Cum Administrator,"Handle full set of accounts. Handle returns, income tax submission, GST quarterly report and filing. Ensure timely preparation of management reports and financial analysis. Internet Banking. Invoice Financing Submission & Control. Responsible for financial, tax reporting, valuation for the funds and special purpose vehicles. Assisting with financial data entry and general bookkeeping. Managing Invoice creation process, including follow-up. Assisting with payroll and employee benefit tasks. Assisting with processing claims and ensuring adherence to company claim policies. Processing and reconciling bank deposits/statements. Monthly payroll and commission and OT. CPF Contribution Submission. Monitor new Ministry of Manpower /Government Policies. Monitor new Government Grants and Assist in Grant applications. Maintain Personal Records of All Employees (Annual leave,MC,etc.) Work Permit Application, Submission and Coordination. Perform other ad-hoc duties as assigned. Able to work late and Sundays and Public Holiday (if required).",25,24111,[0.9999999,24112, 5.185162e-08,33131,12112,24233
26,53203,Dental Clinic Assistant,Manage the day to day work of dental clinic. Chair-side assistance of the dentist. Sterilisation of Equipment. Answering patient enquiries. Making appointments. Clinic management. Requirements: Singaporeans only. Minimum 2 years experience in Dental Clinic. Relevant experience preferred. Check out Abercare sg for more detail. Interested candidate may send resume to career@abercare sg or call +65 6721 9231. Abercare sg | EA License Number 18C9070 | Germaine Er Si Ying | Registration Number R1875721.,26,53203,0.99999976,42241, 2.8864852e-07,53201,42243,51421
27,12112,Finance and Administration Manager,"Supporting day-to-day accounting and administrative functions. Administer leave records, claims, and payments. Liasing with external vendors and handle Purchase Orders (PO) and payments. Assisting the sales team with issuing quotations and invoices to customers and following up on payment collections. Preparing and verifying monthly budget reports. Ensuring proper filing of company documents such as contracts and agreements. Preparing contracts and administrative documents for employees based on templates. Managing the Proteona office and actively supporting the staff and management. Other ad-hoc duties as assigned.",27,12112,[0.8514309,43112, 0.09971028,24111,12121,24233
28,24212,Business Analyst (E-Commerce / B2B / EDI),"Uses an understanding of the existing system architecture to identify the addition of or changes to system interfaces, functional system behaviour, and data requirements. Develops and analyses system functional requirements. Facilitates cross-functional team meetings to address business problems or systems issues. Documents business requirements and systems specifications. Interprets business needs and translates them into system requirements. Reviews with the development group for system design and development. Engage, analyse, develop, test and maintain for our B2B systems (EDI/RosettaNet) with external partners as well as in-house business users and IT teams. Clarify business network integration requirements, map them to systems capabilities, and recommend technical solutions. Develop and maintain technical messaging specifications and other relevant documentation. Prepare appropriate testing and implementation documentation. Provide 2nd level application support and maintenance for B2B systems as needed. Be the communication interface among external partners as well as in-house users/IT team. Other duties as assigned.",28,24212,oba': [1.0,33221, 6.3238988e-18,25111,24213,24232
29,12212,Business Development Manager (IT/ Software),"Maintaining current client relationships and identifying potential clients. Contacting potential customers to develop relationships and sales. Developing new sales areas and improving sales through various methods. Researching trends and creating new opportunities to increase sales. Collaborating with project team to ensure project is successfully delivered with good quality and within timeline. Maintaining a strong understanding of products and services, and innovating new ways to serve businesses.",29,12212,[0.9999968,12213, 3.2436867e-06,13302,12241,24213
30,14121,RESTAURANT SALES MANAGER,"Duties: Manage online sales orders. Responsible for increasing business profitability. In-charge of deliveries and reservations. Responsible in planning marketing and posting online promotions for the restaurant. Handle customer service matters including complaints and suggestions. Plan and create events to promote restaurant sales. You must be: IT savvy. Knowledgeable in E-commerce retail and marketing tools. Must posses a bachelor's degree in commerce or related discipline. Minimum 3 years experience in managing hotel or restaurant sales. Relavant experience in F&B industry particularly in Italian cuisine is preferred, but not required must be willing to work during weekends and holidays productive, honest and hardworking.",30,14121,oba': [1.0,14201, 1.3425323e-11,12241,51311,14391
31,51312,Waiter / Waitress ,"Providing excellent wait service to ensure satisfaction. Taking customer orders and delivering food and beverages. Making menu recommendations., answering questions and sharing additional information with restaurant patrons. Welcomes customers when they arrive at a restaurant, cafe, or other eating or drinking establishment. Introduces customers to the menu and announces daily or seasonal menu specials. Answers questions about menu items, ingredients, and pricing. Takes customers' orders for food and drink by writing them on a ticket, entering them into a tablet, or memorizing them. Passes customer orders along to kitchen staff for preparation. Prepares drinks and serves them to customers.",31,51312,[0.9999896,51311, 1.0325667e-05,51322,52492,52302
32,13243,Team Manager (Fleet Management),"Reporting to the Group Manager, you will be managing a team to manage delivery.To ensure timely pickup of parcels due for delivery from sellers around Singapore, allocate job tasks, schedule work calendar, manage employee work performance and attendance. To ensure SOP is abided to and best practices are educated to your team. To resolve problems with pickup routes and logistical issues both independently and in a team. Job Description. Overall in charge of all delivery Fleet (Drivers & Driver Attendants) Provide managerial role for team. Responsible for running daily operations. Managing/tracking delivery performance & Forecasting. Training, Skills Development of Drivers/Attendants. Management of Fleet Trucks & Staff in terms of attendance, KPI. Maintain good working relationships with customers. Capable of resolving escalated issues arising from operations and require coordination with other departments. Ensure daily, weekly and monthly KPIs are met and not limited to any task assigned by management. Plan and execute daily planning base on Standard Operations Procedures. Minimum 4 year(s) of working experience in a supervisory/managerial role. Able to work in fast paced environment. Good in data analysis (MS Excel) Meticulous and detail-oriented. Excellent communication skills. Singaporeans only. Class 4 licence is not compulsory. Working Schedule. Working Hours: 9am to 6pm (Mon to Fri) & 9am to 1pm (Sat) Able to start work within a short notice will be an added advantage. Casual wear environment, jeans, tees, covered shoes e g sports shoes preferred! Remuneration: Basic Salary: $3000 to $3500 (Negotiable, depends on experience) Mobile Allowance: $50-70/mth. Attendance Incentive of $300 monthly for good attendance! Meal Allowance $10 for days of working overtime. Annual Performance Incentive $350/$550. 12 days Annual Leave per year. Standard Sick Leave & Hospitalisation & Child Care Leave entitlements. Annual Salary reviews. Interested applicants are invited to send your updated resume via Apply Now.We regret that only shortlisted applicants will be notified. ** Walk-in Interviews will not be entertained.",32,13210,0.21592551,13243, 0.13369387,11203,13241,13230
33,21442,Tooling Design Engineer,"Job Responsibilities: To handle mold design, fixture design and debugging. To meet customer for DFM and mold concept review, and related technical discussions. To conduct design review meeting for new mold. To ensure quality of mold design and debugging drawing. To follow up with process team on mold testing and on line trouble shooting. Job Requirement: Diploma and above in mold design or mechanical engineering with at least 3 years' experience. Good communication skill. Good knowledge in mold design, tooling fabrication. Understand measurement method and equipment. Be responsible and self-motivated.",33,21442,0.99374723,21441, 0.0062145963,21422,21421,21413
34,42241,Receptionist,"Roles & Responsibilities. Perform frontline customer service support. Good confidence in handling telephone calls and arranging customers' booking schedule. Follow-up calls and text with customers. Perform cashiering and general administrative duties. Maintain filing of customers' treatment cards and update information in the system. Maintain cleanliness of front reception counter. Ensure smooth coordination and communication with team members. Other ad-hoc duties. Able to work on weekends and PH preferred. Must be neat, presentable and have effective communication skills. Able to work commence work immediately or within short notice period. Location at Grand Copthorne Waterfront Hotel.",34,42241,[0.9998411,42243, 0.0001469866,42245,42242,41201
35,13292,Quality Assurance Manager,"Work closely with Factory Manager on the implementation of Quality procedures. To work with production management team and to implement preventive measures on quality standards and to ensure good quality products prior to shipment. Implement ongoing quality improvement processes, working with inter-departmental teams. Coordinate with the quality assurance personnel to ensure that the goods meet an acceptable standard. Perform at least a yearly factory audit and qualification. Perform failure analysis and prepare Corrective Action Reports for problems encountered during BAP or production with the factories and/or silicon suppliers. Conduct qualification/testing report according to customer requirements. Assure the reliability and consistency of production by checking processes and final output. Appraise customers' requirements and make sure they are satisfied. Facilitate proactive solutions by collecting and analyzing quality data. Keep records of quality reports, statistical reviews and relevant documentation. Oversee and maintain Quality Management System (QMS).",35,13292,oba': [1.0,21414, 1.0464029e-19,22632,24213,25151
36,41201,Corporate Secretary Executive,"Our Client is a corporate secretarial and accounting firm serving both local and multinational companies in Singapore. Job Responsibilities.: Responsible for administrative matters with regards to corporate secretarial functions, such as company incorporation, arrangement of meetings, striking off, paperwork and filing e t c. Maintenance of proper records and filing system. Assist in monthly management reporting. Liaise with accountant to obtain financial information. Other related tasks as directed. Minimum Polytechnic Diploma or professional certification in any field. At least 1 year of corporate secretarial experience. Possess strong initiative, good communication and interpersonal skills. Committed and motivated individuals who are meticulous, have an eye for detail and enjoy working in a fast-paced dynamic environment. Additional Information. Work at Paya Lebar (Near MRT) 5 Day Work Week. Brand new office environment. Established and growing company. Interested candidates are invited to send in your Resume in MS Word Format* stating your past work experience, reasons for each leave, past and expected remuneration. We regret to inform that only shortlisted candidates will be notified. By submitting an application to us, you will be deemed to have agreed for us to collect, use, and disclose your personal data which you have submitted to your prospective employers, for the purpose of job search, and/or other services which you have consented us to perform on your behalf. EA Personnel: Ng Zhenyu (R1326341) EA License: 19C9782.",36,41201,oba': [1.0,41101, 1.3184582e-14,24320,11203,11201
37,93334,Warehouse Assistant,"The Warehouse Assistant Assistant is responsible for sorting, packaging, labelling and loading cargo to and from various storage locations.Systematic and mechanically-inclined, he/she is also responsible for quality standards, safe and efficient operation and be required to support general warehouse operations. He/She is expected work with internal and external stakeholders to accomplish his/her work. Minimum GCE ""N"" level. Minumun 2 years of warehouse experience. Physically fit. Able to read Chinese documents.",37,93334,oba': [1.0,43212, 1.2775264e-24,93201,43112,53201
38,53115,Infant Educarer,Conduct lessons according to our pre-school curriculum and enrichment programme. Carry out progress monitoring of children. Classroom management and maintaining a pleasant learning environment. Setting up learning corners. Carrying out routine care duties. Organizing and participate in centre events. Ensuring the safety and hygiene of children. Work closely with other teaching staff in the class in carrying out the duties. Build and maintain close partnership with parents. Assist in other ad-hoc duties or initiatives.,38,53115,oba': [1.0,53120, 1.5435479e-08,36100,13410,53202
39,51501,housekeeping keeping supervisor,Supervise the engagement team. Manage of the team's performance. Guide the team with normal working procedure maintain good relationship with client work with the engagement team to complete the job lead the team complete daily working report. Discuss with manager for the team performance keep all cleaning stuff in good condition.,39,71000,[0.2020115,21493, 0.13507351,32572,31711,41101
40,51411,Hair Salon Hair Stylist,"Recommend hairstyle, colouring, and treatment, according to the client's facial shape and preference. Perform a wide range of hair colouring techniques, including highlights, ombre etc. Style client's hair to desired effect, including shaping, curling, cutting, trimming, setting etc. Analyze client's hair and scalp condition and recommend appropriate treatment or product. Perform hair services, including blow-drying, waxing, styling, etc. Ensure cleanliness of workstation and salon. Build up customer base, by converting prospects into long-term clients. Maintain a good relationship with clients and remember their hairstyle preferences. Act as a subject matter expert on hair treatments, procedures, styling and technology and stay up to date on trends in the hair and beauty industry. Any other adhoc duties assigned by Management.",40,51411,[0.5496617,51419, 0.45033196,51412,42241,51422
